epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1242,1.28849,2.1671,1.53205,0.63023,0.54858,0.5763,0.35878,1.34058,1.55897,1.61787,0.00332126,0.00332126,0.00332126
2,108.555,1.2052,1.50694,1.44894,0.6777,0.53504,0.60588,0.37839,1.41226,1.47799,1.6641,0.00662165,0.00662165,0.00662165
3,159.639,1.2953,1.60205,1.52081,0.5086,0.40471,0.42785,0.23763,1.77276,2.17345,2.17586,0.00988904,0.00988904,0.00988904
4,211.482,1.41796,1.76576,1.63426,0.48007,0.41218,0.41699,0.223,1.83147,1.96378,2.05753,0.0098515,0.0098515,0.0098515
5,262.006,1.41541,1.75431,1.63856,0.58439,0.53235,0.5577,0.34211,1.51136,1.72637,1.84007,0.009802,0.009802,0.009802
6,313.091,1.37232,1.72594,1.6007,0.69059,0.54192,0.61456,0.37978,1.44956,1.58029,1.77634,0.0097525,0.0097525,0.0097525
7,364.961,1.33599,1.62942,1.57649,0.6754,0.55525,0.62121,0.3808,1.45087,1.58169,1.73722,0.009703,0.009703,0.009703
8,416.292,1.31049,1.57924,1.55277,0.65591,0.56604,0.6332,0.3929,1.40283,1.48344,1.69164,0.0096535,0.0096535,0.0096535
9,467.472,1.29736,1.53844,1.54329,0.70255,0.56844,0.64256,0.41075,1.36647,1.46645,1.66075,0.009604,0.009604,0.009604
10,519.009,1.25422,1.47626,1.5105,0.72271,0.53025,0.63383,0.38683,1.4379,1.4556,1.73463,0.0095545,0.0095545,0.0095545
11,570.093,1.24205,1.4356,1.50038,0.76446,0.65086,0.74874,0.47599,1.33426,1.24518,1.63909,0.009505,0.009505,0.009505
12,620.942,1.22294,1.41819,1.48002,0.79383,0.62441,0.74518,0.47608,1.33518,1.26182,1.64124,0.0094555,0.0094555,0.0094555
13,671.751,1.22069,1.38458,1.47962,0.76916,0.65588,0.75963,0.48816,1.27524,1.19862,1.57385,0.009406,0.009406,0.009406
14,722.255,1.18141,1.33555,1.44568,0.7722,0.65663,0.7532,0.50085,1.26506,1.20635,1.56649,0.0093565,0.0093565,0.0093565
15,772.857,1.18584,1.32769,1.45236,0.80629,0.69243,0.79455,0.52946,1.23269,1.10377,1.51576,0.009307,0.009307,0.009307
16,824.174,1.16887,1.30355,1.441,0.83133,0.68746,0.80971,0.5441,1.19992,1.05436,1.50016,0.0092575,0.0092575,0.0092575
